Genesis 1:1	In the beginning God created the heaven and the earth.
Joel 3:17	So shall ye know that I am the LORD your God dwelling in Zion, my holy mountain: then shall Jerusalem be holy, and there shall no strangers pass through her any more.
Amos 1:6	Thus saith the LORD; For three transgressions of Gaza, and for four, I will not turn away the punishment thereof; because they carried away captive the whole captivity, to deliver them up to Edom:
Amos 2:1	Thus saith the LORD; For three transgressions of Moab, and for four, I will not turn away the punishment thereof; because he burned the bones of the king of Edom into lime:
Amos 2:11	And I raised up of your sons for prophets, and of your young men for Nazarites. Is it not even thus, O ye children of Israel? saith the LORD.
Amos 3:5	Can a bird fall in a snare upon the earth, where no gin is for him? shall one take up a snare from the earth, and have taken nothing at all?
Amos 3:15	And I will smite the winter house with the summer house; and the houses of ivory shall perish, and the great houses shall have an end, saith the LORD.
Amos 4:10	I have sent among you the pestilence after the manner of Egypt: your young men have I slain with the sword, and have taken away your horses; and I have made the stink of your camps to come up unto your nostrils: yet have ye not returned unto me, saith the LORD.
Amos 5:7	Ye who turn judgment to wormwood, and leave off righteousness in the earth,
Amos 5:17	And in all vineyards shall be wailing: for I will pass through thee, saith the LORD.
Amos 5:27	Therefore will I cause you to go into captivity beyond Damascus, saith the LORD, whose name is The God of hosts.
Amos 6:10	And a man's uncle shall take him up, and he that burneth him, to bring out the bones out of the house, and shall say unto him that is by the sides of the house, Is there yet any with thee? and he shall say, No. Then shall he say, Hold thy tongue: for we may not make mention of the name of the LORD.
Amos 7:6	The LORD repented for this: This also shall not be, saith the Lord GOD.
Amos 7:16	Now therefore hear thou the word of the LORD: Thou sayest, Prophesy not against Israel, and drop not thy word against the house of Isaac.
Amos 8:9	And it shall come to pass in that day, saith the Lord GOD, that I will cause the sun to go down at noon, and I will darken the earth in the clear day:
Amos 9:5	And the Lord GOD of hosts is he that toucheth the land, and it shall melt, and all that dwell therein shall mourn: and it shall rise up wholly like a flood; and shall be drowned, as by the flood of Egypt.
Amos 9:15	And I will plant them upon their land, and they shall no more be pulled up out of their land which I have given them, saith the LORD thy God.
Obadiah 1:10	For thy violence against thy brother Jacob shame shall cover thee, and thou shalt be cut off for ever.
Obadiah 1:20	And the captivity of this host of the children of Israel shall possess that of the Canaanites, even unto Zarephath; and the captivity of Jerusalem, which is in Sepharad, shall possess the cities of the south.
Jonah 1:9	And he said unto them, I am an Hebrew; and I fear the LORD, the God of heaven, which hath made the sea and the dry land.
Jonah 2:2	And said, I cried by reason of mine affliction unto the LORD, and he heard me; out of the belly of hell cried I, and thou heardest my voice.
Jonah 3:2	Arise, go unto Nineveh, that great city, and preach unto it the preaching that I bid thee.
Jonah 4:2	And he prayed unto the LORD, and said, I pray thee, O LORD, was not this my saying, when I was yet in my country? Therefore I fled before unto Tarshish: for I knew that thou art a gracious God, and merciful, slow to anger, and of great kindness, and repentest thee of the evil.
Micah 1:1	The word of the LORD that came to Micah the Morasthite in the days of Jotham, Ahaz, and Hezekiah, kings of Judah, which he saw concerning Samaria and Jerusalem.
Micah 1:11	Pass ye away, thou inhabitant of Saphir, having thy shame naked: the inhabitant of Zaanan came not forth in the mourning of Bethezel; he shall receive of you his standing.
Micah 2:5	Therefore thou shalt have none that shall cast a cord by lot in the congregation of the LORD.
Micah 3:2	Who hate the good, and love the evil; who pluck off their skin from off them, and their flesh from off their bones;
Micah 3:12	Therefore shall Zion for your sake be plowed as a field, and Jerusalem shall become heaps, and the mountain of the house as the high places of the forest.
Micah 4:10	Be in pain, and labour to bring forth, O daughter of Zion, like a woman in travail: for now shalt thou go forth out of the city, and thou shalt dwell in the field, and thou shalt go even to Babylon; there shalt thou be delivered; there the LORD shall redeem thee from the hand of thine enemies.
Micah 5:7	And the remnant of Jacob shall be in the midst of many people as a dew from the LORD, as the showers upon the grass, that tarrieth not for man, nor waiteth for the sons of men.
Micah 6:2	Hear ye, O mountains, the LORD's controversy, and ye strong foundations of the earth: for the LORD hath a controversy with his people, and he will plead with Israel.
Micah 6:12	For the rich men thereof are full of violence, and the inhabitants thereof have spoken lies, and their tongue is deceitful in their mouth.
Micah 7:6	For the son dishonoureth the father, the daughter riseth up against her mother, the daughter in law against her mother in law; a man's enemies are the men of his own house.
Micah 7:16	The nations shall see and be confounded at all their might: they shall lay their hand upon their mouth, their ears shall be deaf.
Nahum 1:6	Who can stand before his indignation? and who can abide in the fierceness of his anger? his fury is poured out like fire, and the rocks are thrown down by him.
Nahum 2:1	He that dasheth in pieces is come up before thy face: keep the munition, watch the way, make thy loins strong, fortify thy power mightily.
Nahum 2:11	Where is the dwelling of the lions, and the feedingplace of the young lions, where the lion, even the old lion, walked, and the lion's whelp, and none made them afraid?
Nahum 3:8	Art thou better than populous No, that was situate among the rivers, that had the waters round about it, whose rampart was the sea, and her wall was from the sea?
Nahum 3:18	Thy shepherds slumber, O king of Assyria: thy nobles shall dwell in the dust: thy people is scattered upon the mountains, and no man gathereth them.
Habakkuk 1:9	They shall come all for violence: their faces shall sup up as the east wind, and they shall gather the captivity as the sand.
Habakkuk 2:2	And the LORD answered me, and said, Write the vision, and make it plain upon tables, that he may run that readeth it.
Habakkuk 2:12	Woe to him that buildeth a town with blood, and stablisheth a city by iniquity!
Habakkuk 3:2	O LORD, I have heard thy speech, and was afraid: O LORD, revive thy work in the midst of the years, in the midst of the years make known; in wrath remember mercy.
Habakkuk 3:12	Thou didst march through the land in indignation, thou didst thresh the heathen in anger.
Zephaniah 1:3	I will consume man and beast; I will consume the fowls of the heaven, and the fishes of the sea, and the stumblingblocks with the wicked: and I will cut off man from off the land, saith the LORD.
Zephaniah 1:13	Therefore their goods shall become a booty, and their houses a desolation: they shall also build houses, but not inhabit them; and they shall plant vineyards, but not drink the wine thereof.
Zephaniah 2:5	Woe unto the inhabitants of the sea coast, the nation of the Cherethites! the word of the LORD is against you; O Canaan, the land of the Philistines, I will even destroy thee, that there shall be no inhabitant.
Zephaniah 2:15	This is the rejoicing city that dwelt carelessly, that said in her heart, I am, and there is none beside me: how is she become a desolation, a place for beasts to lie down in! every one that passeth by her shall hiss, and wag his hand.
Zephaniah 3:10	From beyond the rivers of Ethiopia my suppliants, even the daughter of my dispersed, shall bring mine offering.
Zephaniah 3:20	At that time will I bring you again, even in the time that I gather you: for I will make you a name and a praise among all people of the earth, when I turn back your captivity before your eyes, saith the LORD.
Haggai 1:10	Therefore the heaven over you is stayed from dew, and the earth is stayed from her fruit.
Haggai 2:5	According to the word that I covenanted with you when ye came out of Egypt, so my spirit remaineth among you: fear ye not.
Haggai 2:15	And now, I pray you, consider from this day and upward, from before a stone was laid upon a stone in the temple of the LORD:
Zechariah 1:2	The LORD hath been sore displeased with your fathers.
Zechariah 1:12	Then the angel of the LORD answered and said, O LORD of hosts, how long wilt thou not have mercy on Jerusalem and on the cities of Judah, against which thou hast had indignation these threescore and ten years?
Zechariah 2:1	I lifted up mine eyes again, and looked, and behold a man with a measuring line in his hand.
Zechariah 2:11	And many nations shall be joined to the LORD in that day, and shall be my people: and I will dwell in the midst of thee, and thou shalt know that the LORD of hosts hath sent me unto thee.
Zechariah 3:8	Hear now, O Joshua the high priest, thou, and thy fellows that sit before thee: for they are men wondered at: for, behold, I will bring forth my servant the BRANCH.
Zechariah 4:8	Moreover the word of the LORD came unto me, saying,
Zechariah 5:4	I will bring it forth, saith the LORD of hosts, and it shall enter into the house of the thief, and into the house of him that sweareth falsely by my name: and it shall remain in the midst of his house, and shall consume it with the timber thereof and the stones thereof.
Zechariah 6:3	And in the third chariot white horses; and in the fourth chariot grisled and bay horses.
Zechariah 6:13	Even he shall build the temple of the LORD; and he shall bear the glory, and shall sit and rule upon his throne; and he shall be a priest upon his throne: and the counsel of peace shall be between them both.
Zechariah 7:8	And the word of the LORD came unto Zechariah, saying,
Zechariah 8:4	Thus saith the LORD of hosts; There shall yet old men and old women dwell in the streets of Jerusalem, and every man with his staff in his hand for very age.
Zechariah 8:14	For thus saith the LORD of hosts; As I thought to punish you, when your fathers provoked me to wrath, saith the LORD of hosts, and I repented not:
Zechariah 9:1	The burden of the word of the LORD in the land of Hadrach, and Damascus shall be the rest thereof: when the eyes of man, as of all the tribes of Israel, shall be toward the LORD.
Zechariah 9:11	As for thee also, by the blood of thy covenant I have sent forth thy prisoners out of the pit wherein is no water.
Zechariah 10:4	Out of him came forth the corner, out of him the nail, out of him the battle bow, out of him every oppressor together.
Zechariah 11:2	Howl, fir tree; for the cedar is fallen; because the mighty are spoiled: howl, O ye oaks of Bashan; for the forest of the vintage is come down.
Zechariah 11:12	And I said unto them, If ye think good, give me my price; and if not, forbear. So they weighed for my price thirty pieces of silver.
Zechariah 12:5	And the governors of Judah shall say in their heart, The inhabitants of Jerusalem shall be my strength in the LORD of hosts their God.
Zechariah 13:1	In that day there shall be a fountain opened to the house of David and to the inhabitants of Jerusalem for sin and for uncleanness.
Zechariah 14:2	For I will gather all nations against Jerusalem to battle; and the city shall be taken, and the houses rifled, and the women ravished; and half of the city shall go forth into captivity, and the residue of the people shall not be cut off from the city.
Zechariah 14:12	And this shall be the plague wherewith the LORD will smite all the people that have fought against Jerusalem; Their flesh shall consume away while they stand upon their feet, and their eyes shall consume away in their holes, and their tongue shall consume away in their mouth.
Malachi 1:1	The burden of the word of the LORD to Israel by Malachi.
Malachi 1:11	For from the rising of the sun even unto the going down of the same my name shall be great among the Gentiles; and in every place incense shall be offered unto my name, and a pure offering: for my name shall be great among the heathen, saith the LORD of hosts.
Malachi 2:7	For the priest's lips should keep knowledge, and they should seek the law at his mouth: for he is the messenger of the LORD of hosts.
Malachi 2:17	Ye have wearied the LORD with your words. Yet ye say, Wherein have we wearied him? When ye say, Every one that doeth evil is good in the sight of the LORD, and he delighteth in them; or, Where is the God of judgment?
Malachi 3:10	Bring ye all the tithes into the storehouse, that there may be meat in mine house, and prove me now herewith, saith the LORD of hosts, if I will not open you the windows of heaven, and pour you out a blessing, that there shall not be room enough to receive it.
Malachi 4:2	But unto you that fear my name shall the Sun of righteousness arise with healing in his wings; and ye shall go forth, and grow up as calves of the stall.
Matthew 1:6	And Jesse begat David the king; and David the king begat Solomon of her that had been the wife of Urias;
Matthew 1:16	And Jacob begat Joseph the husband of Mary, of whom was born Jesus, who is called Christ.
Matthew 2:1	Now when Jesus was born in Bethlehem of Judaea in the days of Herod the king, behold, there came wise men from the east to Jerusalem,
Matthew 2:11	And when they were come into the house, they saw the young child with Mary his mother, and fell down, and worshipped him: and when they had opened their treasures, they presented unto him gifts; gold, and frankincense and myrrh.
Matthew 2:21	And he arose, and took the young child and his mother, and came into the land of Israel.
Matthew 3:8	Bring forth therefore fruits meet for repentance:
Matthew 4:1	Then was Jesus led up of the spirit into the wilderness to be tempted of the devil.
Matthew 4:11	Then the devil leaveth him, and, behold, angels came and ministered unto him.
Matthew 4:21	And going on from thence, he saw other two brethren, James the son of Zebedee, and John his brother, in a ship with Zebedee their father, mending their nets; and he called them.
Matthew 5:6	Blessed are they which do hunger and thirst after righteousness: for they shall be filled.
Matthew 5:16	Let your light so shine before men, that they may see your good works, and glorify your Father which is in heaven.
Matthew 5:26	Verily I say unto thee, Thou shalt by no means come out thence, till thou hast paid the uttermost farthing.
Matthew 5:36	Neither shalt thou swear by thy head, because thou canst not make one hair white or black.
Matthew 5:46	For if ye love them which love you, what reward have ye? do not even the publicans the same?
Matthew 6:8	Be not ye therefore like unto them: for your Father knoweth what things ye have need of, before ye ask him.
Matthew 6:18	That thou appear not unto men to fast, but unto thy Father which is in secret: and thy Father, which seeth in secret, shall reward thee openly.
Matthew 6:28	And why take ye thought for raiment? Consider the lilies of the field, how they grow; they toil not, neither do they spin:
Matthew 7:4	Or how wilt thou say to thy brother, Let me pull out the mote out of thine eye; and, behold, a beam is in thine own eye?
Matthew 7:14	Because strait is the gate, and narrow is the way, which leadeth unto life, and few there be that find it.
Matthew 7:24	Therefore whosoever heareth these sayings of mine, and doeth them, I will liken him unto a wise man, which built his house upon a rock:
Matthew 8:5	And when Jesus was entered into Capernaum, there came unto him a centurion, beseeching him,
Matthew 8:15	And he touched her hand, and the fever left her: and she arose, and ministered unto them.
Matthew 8:25	And his disciples came to him, and awoke him, saying, Lord, save us: we perish.
Matthew 9:1	And he entered into a ship, and passed over, and came into his own city.
Matthew 9:11	And when the Pharisees saw it, they said unto his disciples, Why eateth your Master with publicans and sinners?
Matthew 9:21	For she said within herself, If I may but touch his garment, I shall be whole.
Matthew 9:31	But they, when they were departed, spread abroad his fame in all that country.
Matthew 10:3	Philip, and Bartholomew; Thomas, and Matthew the publican; James the son of Alphaeus, and Lebbaeus, whose surname was Thaddaeus;
Matthew 10:13	And if the house be worthy, let your peace come upon it: but if it be not worthy, let your peace return to you.
Matthew 10:23	But when they persecute you in this city, flee ye into another: for verily I say unto you, Ye shall not have gone over the cities of Israel, till the Son of man be come.
Matthew 10:33	But whosoever shall deny me before men, him will I also deny before my Father which is in heaven.
Matthew 11:1	And it came to pass, when Jesus had made an end of commanding his twelve disciples, he departed thence to teach and to preach in their cities.
Matthew 11:11	Verily I say unto you, Among them that are born of women there hath not risen a greater than John the Baptist: notwithstanding he that is least in the kingdom of heaven is greater than he.
Matthew 11:21	Woe unto thee, Chorazin! woe unto thee, Bethsaida! for if the mighty works, which were done in you, had been done in Tyre and Sidon, they would have repented long ago in sackcloth and ashes.
Matthew 12:1	At that time Jesus went on the sabbath day through the corn; and his disciples were an hungred, and began to pluck the ears of corn and to eat.
Matthew 12:11	And he said unto them, What man shall there be among you, that shall have one sheep, and if it fall into a pit on the sabbath day, will he not lay hold on it, and lift it out?
Matthew 12:21	And in his name shall the Gentiles trust.
Matthew 12:31	Wherefore I say unto you, All manner of sin and blasphemy shall be forgiven unto men: but the blasphemy against the Holy Ghost shall not be forgiven unto men.
Matthew 12:41	The men of Nineveh shall rise in judgment with this generation, and shall condemn it: because they repented at the preaching of Jonas; and, behold, a greater than Jonas is here.
Matthew 13:1	The same day went Jesus out of the house, and sat by the sea side.
Matthew 13:11	He answered and said unto them, Because it is given unto you to know the mysteries of the kingdom of heaven, but to them it is not given.
Matthew 13:21	Yet hath he not root in himself, but dureth for a while: for when tribulation or persecution ariseth because of the word, by and by he is offended.
Matthew 13:31	Another parable put he forth unto them, saying, The kingdom of heaven is like to a grain of mustard seed, which a man took, and sowed in his field:
Matthew 13:41	The Son of man shall send forth his angels, and they shall gather out of his kingdom all things that offend, and them which do iniquity;
Matthew 13:51	Jesus saith unto them, Have ye understood all these things? They say unto him, Yea, Lord.
Matthew 14:3	For Herod had laid hold on John, and bound him, and put him in prison for Herodias' sake, his brother Philip's wife.
Matthew 14:13	When Jesus heard of it, he departed thence by ship into a desert place apart: and when the people had heard thereof, they followed him on foot out of the cities.
Matthew 14:23	And when he had sent the multitudes away, he went up into a mountain apart to pray: and when the evening was come, he was there alone.
Matthew 14:33	Then they that were in the ship came and worshipped him, saying, Of a truth thou art the Son of God.
Matthew 15:7	Ye hypocrites, well did Esaias prophesy of you, saying,
Matthew 15:17	Do not ye yet understand, that whatsoever entereth in at the mouth goeth into the belly, and is cast out into the draught?
Matthew 15:27	And she said, Truth, Lord: yet the dogs eat of the crumbs which fall from their masters' table.
Matthew 15:37	And they did all eat, and were filled: and they took up of the broken meat that was left seven baskets full.
Matthew 16:8	Which when Jesus perceived, he said unto them, O ye of little faith, why reason ye among yourselves, because ye have brought no bread?
Matthew 16:18	And I say also unto thee, That thou art Peter, and upon this rock I will build my church; and the gates of hell shall not prevail against it.
Matthew 16:28	Verily I say unto you, There be some standing here, which shall not taste of death, till they see the Son of man coming in his kingdom.
Matthew 17:10	And his disciples asked him, saying, Why then say the scribes that Elias must first come?
Matthew 17:20	And Jesus said unto them, Because of your unbelief: for verily I say unto you, If ye have faith as a grain of mustard seed, ye shall say unto this mountain, Remove hence to yonder place; and it shall remove; and nothing shall be impossible unto you.
Matthew 18:3	And said, Verily I say unto you, Except ye be converted, and become as little children, ye shall not enter into the kingdom of heaven.
Matthew 18:13	And if so be that he find it, verily I say unto you, he rejoiceth more of that sheep, than of the ninety and nine which went not astray.
Matthew 18:23	Therefore is the kingdom of heaven likened unto a certain king, which would take account of his servants.
Matthew 18:33	Shouldest not thou also have had compassion on thy fellowservant, even as I had pity on thee?
Matthew 19:8	He saith unto them, Moses because of the hardness of your hearts suffered you to put away your wives: but from the beginning it was not so.
Matthew 19:18	He saith unto him, Which? Jesus said, Thou shalt do no murder, Thou shalt not commit adultery, Thou shalt not steal, Thou shalt not bear false witness,
Matthew 19:28	And Jesus said unto them, Verily I say unto you, That ye which have followed me, in the regeneration when the Son of man shall sit in the throne of his glory, ye also shall sit upon twelve thrones, judging the twelve tribes of Israel.
Matthew 20:8	So when even was come, the lord of the vineyard saith unto his steward, Call the labourers, and give them their hire, beginning from the last unto the first.
Matthew 20:18	Behold, we go up to Jerusalem; and the Son of man shall be betrayed unto the chief priests and unto the scribes, and they shall condemn him to death,
Matthew 20:28	Even as the Son of man came not to be ministered unto, but to minister, and to give his life a ransom for many.
Matthew 21:4	All this was done, that it might be fulfilled which was spoken by the prophet, saying,
Matthew 21:14	And the blind and the lame came to him in the temple; and he healed them.
Matthew 21:24	And Jesus answered and said unto them, I also will ask you one thing, which if ye tell me, I in like wise will tell you by what authority I do these things.
Matthew 21:34	And when the time of the fruit drew near, he sent his servants to the husbandmen, that they might receive the fruits of it.
Matthew 21:44	And whosoever shall fall on this stone shall be broken: but on whomsoever it shall fall, it will grind him to powder.
Matthew 22:8	Then saith he to his servants, The wedding is ready, but they which were bidden were not worthy.
Matthew 22:18	But Jesus perceived their wickedness, and said, Why tempt ye me, ye hypocrites?
Matthew 22:28	Therefore in the resurrection whose wife shall she be of the seven? for they all had her.
Matthew 22:38	This is the first and great commandment.
Matthew 23:2	Saying The scribes and the Pharisees sit in Moses' seat:
Matthew 23:12	And whosoever shall exalt himself shall be abased; and he that shall humble himself shall be exalted.
Matthew 23:22	And he that shall swear by heaven, sweareth by the throne of God, and by him that sitteth thereon.
Matthew 23:32	Fill ye up then the measure of your fathers.
Matthew 24:3	And as he sat upon the mount of Olives, the disciples came unto him privately, saying, Tell us, when shall these things be? and what shall be the sign of thy coming, and of the end of the world?
Matthew 24:13	But he that shall endure unto the end, the same shall be saved.
Matthew 24:23	Then if any man shall say unto you, Lo, here is Christ, or there; believe it not.
Matthew 24:33	So likewise ye, when ye shall see all these things, know that it is near, even at the doors.
Matthew 24:43	But know this, that if the goodman of the house had known in what watch the thief would come, he would have watched, and would not have suffered his house to be broken up.
Matthew 25:2	And five of them were wise, and five were foolish.
Matthew 25:12	But he answered and said, Verily I say unto you, I know you not.
Matthew 25:22	He also that had received two talents came and said, Lord, thou deliveredst unto me two talents: behold, I have gained two other talents beside them.
Matthew 25:32	And before him shall be gathered all nations: and he shall separate them one from another, as a shepherd divideth his sheep from the goats:
Matthew 25:42	For I was an hungred, and ye gave me no meat: I was thirsty, and ye gave me no drink:
Matthew 26:6	Now when Jesus was in Bethany, in the house of Simon the leper,
Matthew 26:16	And from that time he sought opportunity to betray him.
Matthew 26:26	And as they were eating, Jesus took bread, and blessed it, and brake it, and gave it to the disciples, and said, Take, eat; this is my body.
Matthew 26:36	Then cometh Jesus with them unto a place called Gethsemane, and saith unto the disciples, Sit ye here, while I go and pray yonder.
Matthew 26:46	Rise, let us be going: behold, he is at hand that doth betray me.
Matthew 26:56	But all this was done, that the scriptures of the prophets might be fulfilled. Then all the disciples forsook him, and fled.
Matthew 26:66	What think ye? They answered and said, He is guilty of death.
Matthew 27:1	When the morning was come, all the chief priests and elders of the people took counsel against Jesus to put him to death:
Matthew 27:11	And Jesus stood before the governor: and the governor asked him, saying, Art thou the King of the Jews? And Jesus said unto him, Thou sayest.
Matthew 27:21	The governor answered and said unto them, Whether of the twain will ye that I release unto you? They said, Barabbas.
Matthew 27:31	And after that they had mocked him, they took the robe off from him, and put his own raiment on him, and led him away to crucify him.
Matthew 27:41	Likewise also the chief priests mocking him, with the scribes and elders, said,
Matthew 27:51	And, behold, the veil of the temple was rent in twain from the top to the bottom; and the earth did quake, and the rocks rent;
Matthew 27:61	And there was Mary Magdalene, and the other Mary, sitting over against the sepulchre.
Matthew 28:5	And the angel answered and said unto the women, Fear not ye: for I know that ye seek Jesus, which was crucified.
Matthew 28:15	So they took the money, and did as they were taught: and this saying is commonly reported among the Jews until this day.
Mark 1:5	And there went out unto him all the land of Judaea, and they of Jerusalem, and were all baptized of him in the river of Jordan, confessing their sins.
Mark 1:15	And saying, The time is fulfilled, and the kingdom of God is at hand: repent ye, and believe the gospel.
Mark 1:25	And Jesus rebuked him, saying, Hold thy peace, and come out of him.
Mark 1:35	And in the morning, rising up a great while before day, he went out, and departed into a solitary place, and there prayed.
Mark 1:45	But he went out, and began to publish it much, and to blaze abroad the matter, insomuch that Jesus could no more openly enter into the city, but was without in desert places: and they came to him from every quarter.
Mark 2:10	But that ye may know that the Son of man hath power on earth to forgive sins, (he saith to the sick of the palsy,)
Mark 2:20	But the days will come, when the bridegroom shall be taken away from them, and then shall they fast in those days.
Mark 3:2	And they watched him, whether he would heal him on the sabbath day; that they might accuse him.
Mark 3:12	And he straitly charged them that they should not make him known.
Mark 3:22	And the scribes which came down from Jerusalem said, He hath Beelzebub, and by the prince of the devils casteth he out devils.
Mark 3:32	And the multitude sat about him, and they said unto him, Behold, thy mother and thy brethren without seek for thee.
Mark 4:7	And some fell among thorns, and the thorns grew up, and choked it, and it yielded no fruit.
Mark 4:17	And have no root in themselves, and so endure but for a time: afterward, when affliction or persecution ariseth for the word's sake, immediately they are offended.
Mark 4:27	And should sleep, and rise night and day, and the seed should spring and grow up, he knoweth not how.
Mark 4:37	And there arose a great storm of wind, and the waves beat into the ship, so that it was now full.
Mark 5:6	But when he saw Jesus afar off, he ran and worshipped him,
Mark 5:16	And they that saw it told them how it befell to him that was possessed with the devil, and also concerning the swine.
Mark 5:26	And had suffered many things of many physicians, and had spent all that she had, and was nothing bettered, but rather grew worse,
Mark 5:36	As soon as Jesus heard the word that was spoken, he saith unto the ruler of the synagogue, Be not afraid, only believe.
Mark 6:3	Is not this the carpenter, the son of Mary, the brother of James, and Joses, and of Juda, and Simon? and are not his sisters here with us? And they were offended at him.
Mark 6:13	And they cast out many devils, and anointed with oil many that were sick, and healed them.
Mark 6:23	And he sware unto her, Whatsoever thou shalt ask of me, I will give it thee, unto the half of my kingdom.
Mark 6:33	And the people saw them departing, and many knew him, and ran afoot thither out of all cities, and outwent them, and came together unto him.
Mark 6:43	And they took up twelve baskets full of the fragments, and of the fishes.
Mark 6:53	And when they had passed over, they came into the land of Gennesaret, and drew to the shore.
Mark 7:7	Howbeit in vain do they worship me, teaching for doctrines the commandments of men.
Mark 7:17	And when he was entered into the house from the people, his disciples asked him concerning the parable.
Mark 7:27	But Jesus said unto her, Let the children first be filled: for it is not meet to take the children's bread, and to cast it unto the dogs.
Mark 7:37	And were beyond measure astonished, saying, He hath done all things well: he maketh both the deaf to hear, and the dumb to speak.
Mark 8:10	And straightway he entered into a ship with his disciples, and came into the parts of Dalmanutha.
Mark 8:20	And when the seven among four thousand, how many baskets full of fragments took ye up? And they said, Seven.
Mark 8:30	And he charged them that they should tell no man of him.
Mark 9:2	And after six days Jesus taketh with him Peter, and James, and John, and leadeth them up into an high mountain apart by themselves: and he was transfigured before them.
Mark 9:12	And he answered and told them, Elias verily cometh first, and restoreth all things; and how it is written of the Son of man, that he must suffer many things, and be set at nought.
Mark 9:22	And ofttimes it hath cast him into the fire, and into the waters, to destroy him: but if thou canst do any thing, have compassion on us, and help us.
Mark 9:32	But they understood not that saying, and were afraid to ask him.
Mark 9:42	And whosoever shall offend one of these little ones that believe in me, it is better for him that a millstone were hanged about his neck, and he were cast into the sea.
Mark 10:2	And the Pharisees came to him, and asked him, Is it lawful for a man to put away his wife? tempting him.
Mark 10:12	And if a woman shall put away her husband, and be married to another, she committeth adultery.
Mark 10:22	And he was sad at that saying, and went away grieved: for he had great possessions.
Mark 10:32	And they were in the way going up to Jerusalem; and Jesus went before them: and they were amazed; and as they followed, they were afraid. And he took again the twelve, and began to tell them what things should happen unto him,
Mark 10:42	But Jesus called them to him, and saith unto them, Ye know that they which are accounted to rule over the Gentiles exercise lordship over them; and their great ones exercise authority upon them.
Mark 10:52	And Jesus said unto him, Go thy way; thy faith hath made thee whole. And immediately he received his sight, and followed Jesus in the way.
Mark 11:10	Blessed be the kingdom of our father David, that cometh in the name of the Lord: Hosanna in the highest.
Mark 11:20	And in the morning, as they passed by, they saw the fig tree dried up from the roots.
Mark 11:30	The baptism of John, was it from heaven, or of men? answer me.
Mark 12:7	But those husbandmen said among themselves, This is the heir; come, let us kill him, and the inheritance shall be our's.
Mark 12:17	And Jesus answering said unto them, Render to Caesar the things that are Caesar's, and to God the things that are God's. And they marvelled at him.
Mark 12:27	He is not the God of the dead, but the God of the living: ye therefore do greatly err.
Mark 12:37	David therefore himself calleth him Lord; and whence is he then his son? And the common people heard him gladly.
Mark 13:3	And as he sat upon the mount of Olives over against the temple, Peter and James and John and Andrew asked him privately,
Mark 13:13	And ye shall be hated of all men for my name's sake: but he that shall endure unto the end, the same shall be saved.
Mark 13:23	But take ye heed: behold, I have foretold you all things.
Mark 13:33	Take ye heed, watch and pray: for ye know not when the time is.
Mark 14:6	And Jesus said, Let her alone; why trouble ye her? she hath wrought a good work on me.
Mark 14:16	And his disciples went forth, and came into the city, and found as he had said unto them: and they made ready the passover.
Mark 14:26	And when they had sung an hymn, they went out into the mount of Olives.
Mark 14:36	And he said, Abba, Father, all things are possible unto thee; take away this cup from me: nevertheless not what I will, but what thou wilt.
Mark 14:46	And they laid their hands on him, and took him.
Mark 14:56	For many bare false witness against him, but their witness agreed not together.
Mark 14:66	And as Peter was beneath in the palace, there cometh one of the maids of the high priest:
Mark 15:4	And Pilate asked him again, saying, Answerest thou nothing? behold how many things they witness against thee.
Mark 15:14	Then Pilate said unto them, Why, what evil hath he done? And they cried out the more exceedingly, Crucify him.
Mark 15:24	And when they had crucified him, they parted his garments, casting lots upon them, what every man should take.
Mark 15:34	And at the ninth hour Jesus cried with a loud voice, saying, Eloi, Eloi, lama sabachthani? which is, being interpreted, My God, my God, why hast thou forsaken me?
Mark 15:44	And Pilate marvelled if he were already dead: and calling unto him the centurion, he asked him whether he had been any while dead.
Mark 16:7	But go your way, tell his disciples and Peter that he goeth before you into Galilee: there shall ye see him, as he said unto you.
Mark 16:17	And these signs shall follow them that believe; In my name shall they cast out devils; they shall speak with new tongues;
Luke 1:7	And they had no child, because that Elisabeth was barren, and they both were now well stricken in years.
Luke 1:17	And he shall go before him in the spirit and power of Elias, to turn the hearts of the fathers to the children, and the disobedient to the wisdom of the just; to make ready a people prepared for the Lord.
Luke 1:27	To a virgin espoused to a man whose name was Joseph, of the house of David; and the virgin's name was Mary.
Luke 1:37	For with God nothing shall be impossible.
Luke 1:47	And my spirit hath rejoiced in God my Saviour.
Luke 1:57	Now Elisabeth's full time came that she should be delivered; and she brought forth a son.
Luke 1:67	And his father Zacharias was filled with the Holy Ghost, and prophesied, saying,
Luke 1:77	To give knowledge of salvation unto his people by the remission of their sins,
Luke 2:7	And she brought forth her firstborn son, and wrapped him in swaddling clothes, and laid him in a manger; because there was no room for them in the inn.
Luke 2:17	And when they had seen it, they made known abroad the saying which was told them concerning this child.
Luke 2:27	And he came by the Spirit into the temple: and when the parents brought in the child Jesus, to do for him after the custom of the law,
Luke 2:37	And she was a widow of about fourscore and four years, which departed not from the temple, but served God with fastings and prayers night and day.
Luke 2:47	And all that heard him were astonished at his understanding and answers.
Luke 3:5	Every valley shall be filled, and every mountain and hill shall be brought low; and the crooked shall be made straight, and the rough ways shall be made smooth;
Luke 3:15	And as the people were in expectation, and all men mused in their hearts of John, whether he were the Christ, or not;
