Genesis 1:4	And God saw the light, that it was good: and God divided the light from the darkness.
Exodus 35:32	And to devise curious works, to work in gold, and in silver, and in brass,
Exodus 36:7	For the stuff they had was sufficient for all the work to make it, and too much.
Exodus 36:17	And he made fifty loops upon the uttermost edge of the curtain in the coupling, and fifty loops made he upon the edge of the curtain which coupleth the second.
Exodus 36:27	And for the sides of the tabernacle westward he made six boards.
Exodus 36:37	And he made an hanging for the tabernacle door of blue, and purple, and scarlet, and fine twined linen, of needlework;
Exodus 37:9	And the cherubim spread out their wings on high, and covered with their wings over the mercy seat, with their faces one to another; even to the mercy seatward were the faces of the cherubim.
Exodus 37:19	Three bowls made after the fashion of almonds in one branch, a knop and a flower; and three bowls made like almonds in another branch, a knop and a flower: so throughout the six branches going out of the candlestick.
Exodus 37:29	And he made the holy anointing oil, and the pure incense of sweet spices, according to the work of the apothecary.
Exodus 38:10	Their pillars were twenty, and their brazen sockets twenty; the hooks of the pillars and their fillets were of silver.
Exodus 38:20	And all the pins of the tabernacle, and of the court round about, were of brass.
Exodus 38:30	And therewith he made the sockets to the door of the tabernacle of the congregation, and the brazen altar, and the brazen grate for it, and all the vessels of the altar,
Exodus 39:9	It was foursquare; they made the breastplate double: a span was the length thereof, and a span the breadth thereof, being doubled.
Exodus 39:19	And they made two rings of gold, and put them on the two ends of the breastplate, upon the border of it, which was on the side of the ephod inward.
Exodus 39:29	And a girdle of fine twined linen, and blue, and purple, and scarlet, of needlework; as the LORD commanded Moses.
Exodus 39:39	The brazen altar, and his grate of brass, his staves, and all his vessels, the laver and his foot,
Exodus 40:6	And thou shalt set the altar of the burnt offering before the door of the tabernacle of the tent of the congregation.
Exodus 40:16	Thus did Moses: according to all that the LORD commanded him, so did he.
Exodus 40:26	And he put the golden altar in the tent of the congregation before the vail:
Exodus 40:36	And when the cloud was taken up from over the tabernacle, the children of Israel went onward in all their journeys:
Leviticus 1:8	And the priests, Aaron's sons, shall lay the parts, the head, and the fat, in order upon the wood that is on the fire which is upon the altar:
Leviticus 2:1	And when any will offer a meat offering unto the LORD, his offering shall be of fine flour; and he shall pour oil upon it, and put frankincense thereon:
Leviticus 2:11	No meat offering, which ye shall bring unto the LORD, shall be made with leaven: for ye shall burn no leaven, nor any honey, in any offering of the LORD made by fire.
Leviticus 3:5	And Aaron's sons shall burn it on the altar upon the burnt sacrifice, which is upon the wood that is on the fire: it is an offering made by fire, of a sweet savor unto the LORD.
Leviticus 3:15	And the two kidneys, and the fat that is upon them, which is by the flanks, and the caul above the liver, with the kidneys, it shall he take away.
Leviticus 4:8	And he shall take off from it all the fat of the bullock for the sin offering; the fat that covereth the inwards, and all the fat that is upon the inwards,
Leviticus 4:18	And he shall put some of the blood upon the horns of the altar which is before the LORD, that is in the tabernacle of the congregation, and shall pour out all the blood at the bottom of the altar of the burnt offering, which is at the door of the tabernacle of the congregation.
Leviticus 4:28	Or if his sin, which he hath sinned, come to his knowledge: then he shall bring his offering, a kid of the goats, a female without blemish, for his sin which he hath sinned.
Leviticus 5:3	Or if he touch the uncleanness of man, whatsoever uncleanness it be that a man shall be defiled withal, and it be hid from him; when he knoweth of it, then he shall be guilty.
Leviticus 5:13	And the priest shall make an atonement for him as touching his sin that he hath sinned in one of these, and it shall be forgiven him: and the remnant shall be the priest's, as a meat offering.
Leviticus 6:4	Then it shall be, because he hath sinned, and is guilty, that he shall restore that which he took violently away, or the thing which he hath deceitfully gotten, or that which was delivered him to keep, or the lost thing which he found,
Leviticus 6:14	And this is the law of the meat offering: the sons of Aaron shall offer it before the LORD, before the altar.
Leviticus 6:24	And the LORD spake unto Moses, saying,
Leviticus 7:4	And the two kidneys, and the fat that is on them, which is by the flanks, and the caul that is above the liver, with the kidneys, it shall he take away:
Leviticus 7:14	And of it he shall offer one out of the whole oblation for an heave offering unto the LORD, and it shall be the priest's that sprinkleth the blood of the peace offerings.
Leviticus 7:24	And the fat of the beast that dieth of itself, and the fat of that which is torn with beasts, may be used in any other use: but ye shall in no wise eat of it.
Leviticus 7:34	For the wave breast and the heave shoulder have I taken of the children of Israel from off the sacrifices of their peace offerings, and have given them unto Aaron the priest and unto his sons by a statute for ever from among the children of Israel.
Leviticus 8:6	And Moses brought Aaron and his sons, and washed them with water.
Leviticus 8:16	And he took all the fat that was upon the inwards, and the caul above the liver, and the two kidneys, and their fat, and Moses burned it upon the altar.
Leviticus 8:26	And out of the basket of unleavened bread, that was before the LORD, he took one unleavened cake, and a cake of oiled bread, and one wafer, and put them on the fat, and upon the right shoulder:
Leviticus 8:36	So Aaron and his sons did all things which the LORD commanded by the hand of Moses.
Leviticus 9:10	But the fat, and the kidneys, and the caul above the liver of the sin offering, he burnt upon the altar; as the LORD commanded Moses.
Leviticus 9:20	And they put the fat upon the breasts, and he burnt the fat upon the altar:
Leviticus 10:6	And Moses said unto Aaron, and unto Eleazar and unto Ithamar, his sons, Uncover not your heads, neither rend your clothes; lest ye die, and lest wrath come upon all the people: but let your brethren, the whole house of Israel, bewail the burning which the LORD hath kindled.
Leviticus 10:16	And Moses diligently sought the goat of the sin offering, and, behold, it was burnt: and he was angry with Eleazar and Ithamar, the sons of Aaron which were left alive, saying,
Leviticus 11:6	And the hare, because he cheweth the cud, but divideth not the hoof; he is unclean unto you.
Leviticus 11:16	And the owl, and the night hawk, and the cuckoo, and the hawk after his kind,
Leviticus 11:26	The carcasses of every beast which divideth the hoof, and is not cloven-footed, nor cheweth the cud, are unclean unto you: every one that toucheth them shall be unclean.
Leviticus 11:36	Nevertheless a fountain or pit, wherein there is plenty of water, shall be clean: but that which toucheth their carcass shall be unclean.
Leviticus 11:46	This is the law of the beasts, and of the fowl, and of every living creature that moveth in the waters, and of every creature that creepeth upon the earth:
Leviticus 13:1	And the LORD spake unto Moses and Aaron, saying,
Leviticus 13:11	It is an old leprosy in the skin of his flesh, and the priest shall pronounce him unclean, and shall not shut him up: for he is unclean.
Leviticus 13:21	But if the priest look on it, and, behold, there be no white hairs therein, and if it be not lower than the skin, but be somewhat dark; then the priest shall shut him up seven days:
Leviticus 13:31	And if the priest look on the plague of the scall, and, behold, it be not in sight deeper than the skin, and that there is no black hair in it; then the priest shall shut up him that hath the plague of the scall seven days:
