Genesis 1:3	And God said, Let there be light: and there was light.
Micah 3:4	Then shall they cry unto the LORD, but he will not hear them: he will even hide his face from them at that time, as they have behaved themselves ill in their doings.
Micah 4:2	And many nations shall come, and say, Come, and let us go up to the mountain of the LORD, and to the house of the God of Jacob; and he will teach us of his ways, and we will walk in his paths: for the law shall go forth of Zion, and the word of the LORD from Jerusalem.
Micah 4:12	But they know not the thoughts of the LORD, neither understand they his counsel: for he shall gather them as the sheaves into the floor.
Micah 5:9	Thine hand shall be lifted up upon thine adversaries, and all thine enemies shall be cut off.
Micah 6:4	For I brought thee up out of the land of Egypt, and redeemed thee out of the house of servants; and I sent before thee Moses, Aaron, and Miriam.
Micah 6:14	Thou shalt eat, but not be satisfied; and thy casting down shall be in the midst of thee; and thou shalt take hold, but shalt not deliver; and that which thou deliverest will I give up to the sword.
Micah 7:8	Rejoice not against me, O mine enemy: when I fall, I shall arise; when I sit in darkness, the LORD shall be a light unto me.
Micah 7:18	Who is a God like unto thee, that pardoneth iniquity, and passeth by the transgression of the remnant of his heritage? he retaineth not his anger for ever, because he delighteth in mercy.
Nahum 1:8	But with an overrunning flood he will make an utter end of the place thereof, and darkness shall pursue his enemies.
Nahum 2:3	The shield of his mighty men is made red, the valiant men are in scarlet: the chariots shall be with flaming torches in the day of his preparation, and the fir trees shall be terribly shaken.
Nahum 2:13	Behold, I am against thee, saith the LORD of hosts, and I will burn her chariots in the smoke, and the sword shall devour thy young lions: and I will cut off thy prey from the earth, and the voice of thy messengers shall no more be heard.
Nahum 3:10	Yet was she carried away, she went into captivity: her young children also were dashed in pieces at the top of all the streets: and they cast lots for her honourable men, and all her great men were bound in chains.
Habakkuk 1:1	The burden which Habakkuk the prophet did see.
Habakkuk 1:11	Then shall his mind change, and he shall pass over, and offend, imputing this his power unto his god.
Habakkuk 2:4	Behold, his soul which is lifted up is not upright in him: but the just shall live by his faith.
Habakkuk 2:14	For the earth shall be filled with the knowledge of the glory of the LORD, as the waters cover the sea.
Habakkuk 3:4	And his brightness was as the light; he had horns coming out of his hand: and there was the hiding of his power.
Habakkuk 3:14	Thou didst strike through with his staves the head of his villages: they came out as a whirlwind to scatter me: their rejoicing was as to devour the poor secretly.
Zephaniah 1:5	And them that worship the host of heaven upon the housetops; and them that worship and that swear by the LORD, and that swear by Malcham;
Zephaniah 1:15	That day is a day of wrath, a day of trouble and distress, a day of wasteness and desolation, a day of darkness and gloominess, a day of clouds and thick darkness,
Zephaniah 2:7	And the coast shall be for the remnant of the house of Judah; they shall feed thereupon: in the houses of Ashkelon shall they lie down in the evening: for the LORD their God shall visit them, and turn away their captivity.
Zephaniah 3:2	She obeyed not the voice; she received not correction; she trusted not in the LORD; she drew not near to her God.
Zephaniah 3:12	I will also leave in the midst of thee an afflicted and poor people, and they shall trust in the name of the LORD.
Haggai 1:2	Thus speaketh the LORD of hosts, saying, This people say, The time is not come, the time that the LORD's house should be built.
Haggai 1:12	Then Zerubbabel the son of Shealtiel, and Joshua the son of Josedech, the high priest, with all the remnant of the people, obeyed the voice of the LORD their God, and the words of Haggai the prophet, as the LORD their God had sent him, and the people did fear before the LORD.
Haggai 2:7	And I will shake all nations, and the desire of all nations shall come: and I will fill this house with glory, saith the LORD of hosts.
Haggai 2:17	I smote you with blasting and with mildew and with hail in all the labours of your hands; yet ye turned not to me, saith the LORD.
Zechariah 1:4	Be ye not as your fathers, unto whom the former prophets have cried, saying, Thus saith the LORD of hosts; Turn ye now from your evil ways, and from your evil doings: but they did not hear, nor hearken unto me, saith the LORD.
Zechariah 1:14	So the angel that communed with me said unto me, Cry thou, saying, Thus saith the LORD of hosts; I am jealous for Jerusalem and for Zion with a great jealousy.
Zechariah 2:3	And, behold, the angel that talked with me went forth, and another angel went out to meet him,
Zechariah 2:13	Be silent, O all flesh, before the LORD: for he is raised up out of his holy habitation.
Zechariah 3:10	In that day, saith the LORD of hosts, shall ye call every man his neighbour under the vine and under the fig tree.
Zechariah 4:10	For who hath despised the day of small things? for they shall rejoice, and shall see the plummet in the hand of Zerubbabel with those seven; they are the eyes of the LORD, which run to and fro through the whole earth.
Zechariah 5:6	And I said, What is it? And he said, This is an ephah that goeth forth. He said moreover, This is their resemblance through all the earth.
Zechariah 6:5	And the angel answered and said unto me, These are the four spirits of the heavens, which go forth from standing before the LORD of all the earth.
Zechariah 6:15	And they that are far off shall come and build in the temple of the LORD, and ye shall know that the LORD of hosts hath sent me unto you. And this shall come to pass, if ye will diligently obey the voice of the LORD your God.
Zechariah 7:10	And oppress not the widow, nor the fatherless, the stranger, nor the poor; and let none of you imagine evil against his brother in your heart.
Zechariah 8:6	Thus saith the LORD of hosts; If it be marvellous in the eyes of the remnant of this people in these days, should it also be marvellous in mine eyes? saith the LORD of hosts.
Zechariah 8:16	These are the things that ye shall do; Speak ye every man the truth to his neighbour; execute the judgment of truth and peace in your gates:
Zechariah 9:3	And Tyrus did build herself a strong hold, and heaped up silver as the dust, and fine gold as the mire of the streets.
Zechariah 9:13	When I have bent Judah for me, filled the bow with Ephraim, and raised up thy sons, O Zion, against thy sons, O Greece, and made thee as the sword of a mighty man.
Zechariah 10:6	And I will strengthen the house of Judah, and I will save the house of Joseph, and I will bring them again to place them; for I have mercy upon them: and they shall be as though I had not cast them off: for I am the LORD their God, and will hear them.
Zechariah 11:4	Thus saith the LORD my God; Feed the flock of the slaughter;
Zechariah 11:14	Then I cut asunder mine other staff, even Bands, that I might break the brotherhood between Judah and Israel.
Zechariah 12:7	The LORD also shall save the tents of Judah first, that the glory of the house of David and the glory of the inhabitants of Jerusalem do not magnify themselves against Judah.
Zechariah 13:3	And it shall come to pass, that when any shall yet prophesy, then his father and his mother that begat him shall say unto him, Thou shalt not live; for thou speakest lies in the name of the LORD: and his father and his mother that begat him shall thrust him through when he prophesieth.
Zechariah 14:4	And his feet shall stand in that day upon the mount of Olives, which is before Jerusalem on the east, and the mount of Olives shall cleave in the midst thereof toward the east and toward the west, and there shall be a very great valley; and half of the mountain shall remove toward the north, and half of it toward the south.
Zechariah 14:14	And Judah also shall fight at Jerusalem; and the wealth of all the heathen round about shall be gathered together, gold, and silver, and apparel, in great abundance.
Malachi 1:3	And I hated Esau, and laid his mountains and his heritage waste for the dragons of the wilderness.
Malachi 1:13	Ye said also, Behold, what a weariness is it! and ye have snuffed at it, saith the LORD of hosts; and ye brought that which was torn, and the lame, and the sick; thus ye brought an offering: should I accept this of your hand? saith the LORD.
Malachi 2:9	Therefore have I also made you contemptible and base before all the people, according as ye have not kept my ways, but have been partial in the law.
Malachi 3:2	But who may abide the day of his coming? and who shall stand when he appeareth? for he is like a refiner's fire, and like fullers' soap:
Malachi 3:12	And all nations shall call you blessed: for ye shall be a delightsome land, saith the LORD of hosts.
Malachi 4:4	Remember ye the law of Moses my servant, which I commanded unto him in Horeb for all Israel, with the statutes and judgments.
Matthew 1:8	And Asa begat Josaphat; and Josaphat begat Joram; and Joram begat Ozias;
Matthew 1:18	Now the birth of Jesus Christ was on this wise: When as his mother Mary was espoused to Joseph, before they came together, she was found with child of the Holy Ghost.
Matthew 2:3	When Herod the king had heard these things, he was troubled, and all Jerusalem with him.
Matthew 2:13	And when they were departed, behold, the angel of the Lord appeareth to Joseph in a dream, saying, Arise, and take the young child and his mother, and flee into Egypt, and be thou there until I bring thee word: for Herod will seek the young child to destroy him.
Matthew 2:23	And he came and dwelt in a city called Nazareth: that it might be fulfilled which was spoken by the prophets, He shall be called a Nazarene.
Matthew 3:10	And now also the axe is laid unto the root of the trees: therefore every tree which bringeth not forth good fruit is hewn down, and cast into the fire.
Matthew 4:3	And when the tempter came to him, he said, If thou be the Son of God, command that these stones be made bread.
Matthew 4:13	And leaving Nazareth, he came and dwelt in Capernaum, which is upon the sea coast, in the borders of Zabulon and Nephthalim:
Matthew 4:23	And Jesus went about all Galilee, teaching in their synagogues, and preaching the gospel of the kingdom, and healing all manner of sickness and all manner of disease among the people.
Matthew 5:8	Blessed are the pure in heart: for they shall see God.
Matthew 5:18	For verily I say unto you, Till heaven and earth pass, one jot or one tittle shall in no wise pass from the law, till all be fulfilled.
Matthew 5:28	But I say unto you, That whosoever looketh on a woman to lust after her hath committed adultery with her already in his heart.
Matthew 5:38	Ye have heard that it hath been said, An eye for an eye, and a tooth for a tooth:
Matthew 5:48	Be ye therefore perfect, even as your Father which is in heaven is perfect.
Matthew 6:10	Thy kingdom come, Thy will be done in earth, as it is in heaven.
Matthew 6:20	But lay up for yourselves treasures in heaven, where neither moth nor rust doth corrupt, and where thieves do not break through nor steal:
Matthew 6:30	Wherefore, if God so clothe the grass of the field, which to day is, and to morrow is cast into the oven, shall he not much more clothe you, O ye of little faith?
Matthew 7:6	Give not that which is holy unto the dogs, neither cast ye your pearls before swine, lest they trample them under their feet, and turn again and rend you.
Matthew 7:16	Ye shall know them by their fruits. Do men gather grapes of thorns, or figs of thistles?
Matthew 7:26	And every one that heareth these sayings of mine, and doeth them not, shall be likened unto a foolish man, which built his house upon the sand:
Matthew 8:7	And Jesus saith unto him, I will come and heal him.
Matthew 8:17	That it might be fulfilled which was spoken by Esaias the prophet, saying, Himself took our infirmities, and bare our sicknesses.
Matthew 8:27	But the men marvelled, saying, What manner of man is this, that even the winds and the sea obey him!
Matthew 9:3	And, behold, certain of the scribes said within themselves, This man blasphemeth.
Matthew 9:13	But go ye and learn what that meaneth, I will have mercy, and not sacrifice: for I am not come to call the righteous, but sinners to repentance.
Matthew 9:23	And when Jesus came into the ruler's house, and saw the minstrels and the people making a noise,
Matthew 9:33	And when the devil was cast out, the dumb spake: and the multitudes marvelled, saying, It was never so seen in Israel.
Matthew 10:5	These twelve Jesus sent forth, and commanded them, saying, Go not into the way of the Gentiles, and into any city of the Samaritans enter ye not:
Matthew 10:15	Verily I say unto you, It shall be more tolerable for the land of Sodom and Gomorrha in the day of judgment, than for that city.
Matthew 10:25	It is enough for the disciple that he be as his master, and the servant as his lord. If they have called the master of the house Beelzebub, how much more shall they call them of his household?
Matthew 10:35	For I am come to set a man at variance against his father, and the daughter against her mother, and the daughter in law against her mother in law.
Matthew 11:3	And said unto him, Art thou he that should come, or do we look for another?
Matthew 11:13	For all the prophets and the law prophesied until John.
Matthew 11:23	And thou, Capernaum, which art exalted unto heaven, shalt be brought down to hell: for if the mighty works, which have been done in thee, had been done in Sodom, it would have remained until this day.
Matthew 12:3	But he said unto them, Have ye not read what David did, when he was an hungred, and they that were with him;
Matthew 12:13	Then saith he to the man, Stretch forth thine hand. And he stretched it forth; and it was restored whole, like as the other.
Matthew 12:23	And all the people were amazed, and said, Is not this the son of David?
Matthew 12:33	Either make the tree good, and his fruit good; or else make the tree corrupt, and his fruit corrupt: for the tree is known by his fruit.
Matthew 12:43	When the unclean spirit is gone out of a man, he walketh through dry places, seeking rest, and findeth none.
Matthew 13:3	And he spake many things unto them in parables, saying, Behold, a sower went forth to sow;
Matthew 13:13	Therefore speak I to them in parables: because they seeing see not; and hearing they hear not, neither do they understand.
Matthew 13:23	But he that received seed into the good ground is he that heareth the word, and understandeth it; which also beareth fruit, and bringeth forth, some an hundredfold, some sixty, some thirty.
Matthew 13:33	Another parable spake he unto them; The kingdom of heaven is like unto leaven, which a woman took, and hid in three measures of meal, till the whole was leavened.
Matthew 13:43	Then shall the righteous shine forth as the sun in the kingdom of their Father. Who hath ears to hear, let him hear.
Matthew 13:53	And it came to pass, that when Jesus had finished these parables, he departed thence.
Matthew 14:5	And when he would have put him to death, he feared the multitude, because they counted him as a prophet.
Matthew 14:15	And when it was evening, his disciples came to him, saying, This is a desert place, and the time is now past; send the multitude away, that they may go into the villages, and buy themselves victuals.
Matthew 14:25	And in the fourth watch of the night Jesus went unto them, walking on the sea.
Matthew 14:35	And when the men of that place had knowledge of him, they sent out into all that country round about, and brought unto him all that were diseased;
Matthew 15:9	But in vain they do worship me, teaching for doctrines the commandments of men.
Matthew 15:19	For out of the heart proceed evil thoughts, murders, adulteries, fornications, thefts, false witness, blasphemies:
Matthew 15:29	And Jesus departed from thence, and came nigh unto the sea of Galilee; and went up into a mountain, and sat down there.
Matthew 15:39	And he sent away the multitude, and took ship, and came into the coasts of Magdala.
Matthew 16:10	Neither the seven loaves of the four thousand, and how many baskets ye took up?
Matthew 16:20	Then charged he his disciples that they should tell no man that he was Jesus the Christ.
Matthew 17:2	And was transfigured before them: and his face did shine as the sun, and his raiment was white as the light.
Matthew 17:12	But I say unto you, That Elias is come already, and they knew him not, but have done unto him whatsoever they listed. Likewise shall also the Son of man suffer of them.
Matthew 17:22	And while they abode in Galilee, Jesus said unto them, The Son of man shall be betrayed into the hands of men:
Matthew 18:5	And whoso shall receive one such little child in my name receiveth me.
Matthew 18:15	Moreover if thy brother shall trespass against thee, go and tell him his fault between thee and him alone: if he shall hear thee, thou hast gained thy brother.
Matthew 18:25	But forasmuch as he had not to pay, his lord commanded him to be sold, and his wife, and children, and all that he had, and payment to be made.
Matthew 18:35	So likewise shall my heavenly Father do also unto you, if ye from your hearts forgive not every one his brother their trespasses.
Matthew 19:10	His disciples say unto him, If the case of the man be so with his wife, it is not good to marry.
Matthew 19:20	The young man saith unto him, All these things have I kept from my youth up: what lack I yet?
Matthew 19:30	But many that are first shall be last; and the last shall be first.
Matthew 20:10	But when the first came, they supposed that they should have received more; and they likewise received every man a penny.
Matthew 20:20	Then came to him the mother of Zebedees children with her sons, worshipping him, and desiring a certain thing of him.
Matthew 20:30	And, behold, two blind men sitting by the way side, when they heard that Jesus passed by, cried out, saying, Have mercy on us, O Lord, thou son of David.
Matthew 21:6	And the disciples went, and did as Jesus commanded them,
Matthew 21:16	And said unto him, Hearest thou what these say? And Jesus saith unto them, Yea; have ye never read, Out of the mouth of babes and sucklings thou hast perfected praise?
Matthew 21:26	But if we shall say, Of men; we fear the people; for all hold John as a prophet.
Matthew 21:36	Again, he sent other servants more than the first: and they did unto them likewise.
Matthew 21:46	But when they sought to lay hands on him, they feared the multitude, because they took him for a prophet.
Matthew 22:10	So those servants went out into the highways, and gathered together all as many as they found, both bad and good: and the wedding was furnished with guests.
Matthew 22:20	And he saith unto them, Whose is this image and superscription?
Matthew 22:30	For in the resurrection they neither marry, nor are given in marriage, but are as the angels of God in heaven.
Matthew 22:40	On these two commandments hang all the law and the prophets.
Matthew 23:4	For they bind heavy burdens and grievous to be borne, and lay them on men's shoulders; but they themselves will not move them with one of their fingers.
Matthew 23:14	Woe unto you, scribes and Pharisees, hypocrites! for ye devour widows' houses, and for a pretence make long prayer: therefore ye shall receive the greater damnation.
Matthew 23:24	Ye blind guides, which strain at a gnat, and swallow a camel.
Matthew 23:34	Wherefore, behold, I send unto you prophets, and wise men, and scribes: and some of them ye shall kill and crucify; and some of them shall ye scourge in your synagogues, and persecute them from city to city:
Matthew 24:5	For many shall come in my name, saying, I am Christ; and shall deceive many.
Matthew 24:15	When ye therefore shall see the abomination of desolation, spoken of by Daniel the prophet, stand in the holy place, (whoso readeth, let him understand:)
Matthew 24:25	Behold, I have told you before.
Matthew 24:35	Heaven and earth shall pass away, but my words shall not pass away.
Matthew 24:45	Who then is a faithful and wise servant, whom his lord hath made ruler over his household, to give them meat in due season?
Matthew 25:4	But the wise took oil in their vessels with their lamps.
Matthew 25:14	For the kingdom of heaven is as a man travelling into a far country, who called his own servants, and delivered unto them his goods.
Matthew 25:24	Then he which had received the one talent came and said, Lord, I knew thee that thou art an hard man, reaping where thou hast not sown, and gathering where thou hast not strawed:
Matthew 25:34	Then shall the King say unto them on his right hand, Come, ye blessed of my Father, inherit the kingdom prepared for you from the foundation of the world:
Matthew 25:44	Then shall they also answer him, saying, Lord, when saw we thee an hungred, or athirst, or a stranger, or naked, or sick, or in prison, and did not minister unto thee?
Matthew 26:8	But when his disciples saw it, they had indignation, saying, To what purpose is this waste?
Matthew 26:18	And he said, Go into the city to such a man, and say unto him, The Master saith, My time is at hand; I will keep the passover at thy house with my disciples.
Matthew 26:28	For this is my blood of the new testament, which is shed for many for the remission of sins.
Matthew 26:38	Then saith he unto them, My soul is exceeding sorrowful, even unto death: tarry ye here, and watch with me.
Matthew 26:48	Now he that betrayed him gave them a sign, saying, Whomsoever I shall kiss, that same is he: hold him fast.
Matthew 26:58	But Peter followed him afar off unto the high priest's palace, and went in, and sat with the servants, to see the end.
Matthew 26:68	Saying, Prophesy unto us, thou Christ, Who is he that smote thee?
Matthew 27:3	Then Judas, which had betrayed him, when he saw that he was condemned, repented himself, and brought again the thirty pieces of silver to the chief priests and elders,
Matthew 27:13	Then said Pilate unto him, Hearest thou not how many things they witness against thee?
Matthew 27:23	And the governor said, Why, what evil hath he done? But they cried out the more, saying, Let him be crucified.
Matthew 27:33	And when they were come unto a place called Golgotha, that is to say, a place of a skull,
Matthew 27:43	He trusted in God; let him deliver him now, if he will have him: for he said, I am the Son of God.
Matthew 27:53	And came out of the graves after his resurrection, and went into the holy city, and appeared unto many.
Matthew 27:63	Saying, Sir, we remember that that deceiver said, while he was yet alive, After three days I will rise again.
Matthew 28:7	And go quickly, and tell his disciples that he is risen from the dead; and, behold, he goeth before you into Galilee; there shall ye see him: lo, I have told you.
Matthew 28:17	And when they saw him, they worshipped him: but some doubted.
Mark 1:7	And preached, saying, There cometh one mightier than I after me, the latchet of whose shoes I am not worthy to stoop down and unloose.
Mark 1:17	And Jesus said unto them, Come ye after me, and I will make you to become fishers of men.
Mark 1:27	And they were all amazed, insomuch that they questioned among themselves, saying, What thing is this? what new doctrine is this? for with authority commandeth he even the unclean spirits, and they do obey him.
Mark 1:37	And when they had found him, they said unto him, All men seek for thee.
Mark 2:2	And straightway many were gathered together, insomuch that there was no room to receive them, no, not so much as about the door: and he preached the word unto them.
Mark 2:12	And immediately he arose, took up the bed, and went forth before them all; insomuch that they were all amazed, and glorified God, saying, We never saw it on this fashion.
Mark 2:22	And no man putteth new wine into old bottles: else the new wine doth burst the bottles, and the wine is spilled, and the bottles will be marred: but new wine must be put into new bottles.
Mark 3:4	And he saith unto them, Is it lawful to do good on the sabbath days, or to do evil? to save life, or to kill? But they held their peace.
Mark 3:14	And he ordained twelve, that they should be with him, and that he might send them forth to preach,
Mark 3:24	And if a kingdom be divided against itself, that kingdom cannot stand.
Mark 3:34	And he looked round about on them which sat about him, and said, Behold my mother and my brethren!
Mark 4:9	And he said unto them, He that hath ears to hear, let him hear.
Mark 4:19	And the cares of this world, and the deceitfulness of riches, and the lusts of other things entering in, choke the word, and it becometh unfruitful.
Mark 4:29	But when the fruit is brought forth, immediately he putteth in the sickle, because the harvest is come.
Mark 4:39	And he arose, and rebuked the wind, and said unto the sea, Peace, be still. And the wind ceased, and there was a great calm.
Mark 5:8	For he said unto him, Come out of the man, thou unclean spirit.
Mark 5:18	And when he was come into the ship, he that had been possessed with the devil prayed him that he might be with him.
Mark 5:28	For she said, If I may touch but his clothes, I shall be whole.
Mark 5:38	And he cometh to the house of the ruler of the synagogue, and seeth the tumult, and them that wept and wailed greatly.
Mark 6:5	And he could there do no mighty work, save that he laid his hands upon a few sick folk, and healed them.
Mark 6:15	Others said, That it is Elias. And others said, That it is a prophet, or as one of the prophets.
Mark 6:25	And she came in straightway with haste unto the king, and asked, saying, I will that thou give me by and by in a charger the head of John the Baptist.
Mark 6:35	And when the day was now far spent, his disciples came unto him, and said, This is a desert place, and now the time is far passed:
Mark 6:45	And straightway he constrained his disciples to get into the ship, and to go to the other side before unto Bethsaida, while he sent away the people.
Mark 6:55	And ran through that whole region round about, and began to carry about in beds those that were sick, where they heard he was.
Mark 7:9	And he said unto them, Full well ye reject the commandment of God, that ye may keep your own tradition.
Mark 7:19	Because it entereth not into his heart, but into the belly, and goeth out into the draught, purging all meats?
Mark 7:29	And he said unto her, For this saying go thy way; the devil is gone out of thy daughter.
Mark 8:2	I have compassion on the multitude, because they have now been with me three days, and have nothing to eat:
Mark 8:12	And he sighed deeply in his spirit, and saith, Why doth this generation seek after a sign? verily I say unto you, There shall no sign be given unto this generation.
Mark 8:22	And he cometh to Bethsaida; and they bring a blind man unto him, and besought him to touch him.
Mark 8:32	And he spake that saying openly. And Peter took him, and began to rebuke him.
Mark 9:4	And there appeared unto them Elias with Moses: and they were talking with Jesus.
Mark 9:14	And when he came to his disciples, he saw a great multitude about them, and the scribes questioning with them.
Mark 9:24	And straightway the father of the child cried out, and said with tears, Lord, I believe; help thou mine unbelief.
Mark 9:34	But they held their peace: for by the way they had disputed among themselves, who should be the greatest.
Mark 9:44	Where their worm dieth not, and the fire is not quenched.
Mark 10:4	And they said, Moses suffered to write a bill of divorcement, and to put her away.
Mark 10:14	But when Jesus saw it, he was much displeased, and said unto them, Suffer the little children to come unto me, and forbid them not: for of such is the kingdom of God.
Mark 10:24	And the disciples were astonished at his words. But Jesus answereth again, and saith unto them, Children, how hard is it for them that trust in riches to enter into the kingdom of God!
Mark 10:34	And they shall mock him, and shall scourge him, and shall spit upon him, and shall kill him: and the third day he shall rise again.
Mark 10:44	And whosoever of you will be the chiefest, shall be servant of all.
Mark 11:2	And saith unto them, Go your way into the village over against you: and as soon as ye be entered into it, ye shall find a colt tied, whereon never man sat; loose him, and bring him.
Mark 11:12	And on the morrow, when they were come from Bethany, he was hungry:
Mark 11:22	And Jesus answering saith unto them, Have faith in God.
Mark 11:32	But if we shall say, Of men; they feared the people: for all men counted John, that he was a prophet indeed.
Mark 12:9	What shall therefore the lord of the vineyard do? he will come and destroy the husbandmen, and will give the vineyard unto others.
Mark 12:19	Master, Moses wrote unto us, If a man's brother die, and leave his wife behind him, and leave no children, that his brother should take his wife, and raise up seed unto his brother.
Mark 12:29	And Jesus answered him, The first of all the commandments is, Hear, O Israel; The Lord our God is one Lord:
Mark 12:39	And the chief seats in the synagogues, and the uppermost rooms at feasts:
Mark 13:5	And Jesus answering them began to say, Take heed lest any man deceive you:
Mark 13:15	And let him that is on the housetop not go down into the house, neither enter therein, to take any thing out of his house:
Mark 13:25	And the stars of heaven shall fall, and the powers that are in heaven shall be shaken.
Mark 13:35	Watch ye therefore: for ye know not when the master of the house cometh, at even, or at midnight, or at the cockcrowing, or in the morning:
Mark 14:8	She hath done what she could: she is come aforehand to anoint my body to the burying.
Mark 14:18	And as they sat and did eat, Jesus said, Verily I say unto you, One of you which eateth with me shall betray me.
Mark 14:28	But after that I am risen, I will go before you into Galilee.
Mark 14:38	Watch ye and pray, lest ye enter into temptation. The spirit truly is ready, but the flesh is weak.
Mark 14:48	And Jesus answered and said unto them, Are ye come out, as against a thief, with swords and with staves to take me?
Mark 14:58	We heard him say, I will destroy this temple that is made with hands, and within three days I will build another made without hands.
Mark 14:68	But he denied, saying, I know not, neither understand I what thou sayest. And he went out into the porch; and the cock crew.
Mark 15:6	Now at that feast he released unto them one prisoner, whomsoever they desired.
Mark 15:16	And the soldiers led him away into the hall, called Praetorium; and they call together the whole band.
Mark 15:26	And the superscription of his accusation was written over, THE KING OF THE JEWS.
Mark 15:36	And one ran and filled a spunge full of vinegar, and put it on a reed, and gave him to drink, saying, Let alone; let us see whether Elias will come to take him down.
Mark 15:46	And he bought fine linen, and took him down, and wrapped him in the linen, and laid him in a sepulchre which was hewn out of a rock, and rolled a stone unto the door of the sepulchre.
Mark 16:9	Now when Jesus was risen early the first day of the week, he appeared first to Mary Magdalene, out of whom he had cast seven devils.
Mark 16:19	So then after the Lord had spoken unto them, he was received up into heaven, and sat on the right hand of God.
Luke 1:9	According to the custom of the priest's office, his lot was to burn incense when he went into the temple of the Lord.
Luke 1:19	And the angel answering said unto him, I am Gabriel, that stand in the presence of God; and am sent to speak unto thee, and to shew thee these glad tidings.
Luke 1:29	And when she saw him, she was troubled at his saying, and cast in her mind what manner of salutation this should be.
Luke 1:39	And Mary arose in those days, and went into the hill country with haste, into a city of Juda;
Luke 1:49	For he that is mighty hath done to me great things; and holy is his name.
Luke 1:59	And it came to pass, that on the eighth day they came to circumcise the child; and they called him Zacharias, after the name of his father.
Luke 1:69	And hath raised up an horn of salvation for us in the house of his servant David;
Luke 1:79	To give light to them that sit in darkness and in the shadow of death, to guide our feet into the way of peace.
Luke 2:9	And, lo, the angel of the Lord came upon them, and the glory of the Lord shone round about them: and they were sore afraid.
Luke 2:19	But Mary kept all these things, and pondered them in her heart.
Luke 2:29	Lord, now lettest thou thy servant depart in peace, according to thy word:
Luke 2:39	And when they had performed all things according to the law of the Lord, they returned into Galilee, to their own city Nazareth.
Luke 2:49	And he said unto them, How is it that ye sought me? wist ye not that I must be about my Father's business?
Luke 3:7	Then said he to the multitude that came forth to be baptized of him, O generation of vipers, who hath warned you to flee from the wrath to come?
Luke 3:17	Whose fan is in his hand, and he will throughly purge his floor, and will gather the wheat into his garner; but the chaff he will burn with fire unquenchable.
Luke 3:27	Which was the son of Joanna, which was the son of Rhesa, which was the son of Zorobabel, which was the son of Salathiel, which was the son of Neri,
Luke 3:37	Which was the son of Mathusala, which was the son of Enoch, which was the son of Jared, which was the son of Maleleel, which was the son of Cainan,
Luke 4:9	And he brought him to Jerusalem, and set him on a pinnacle of the temple, and said unto him, If thou be the Son of God, cast thyself down from hence:
Luke 4:19	To preach the acceptable year of the Lord.
Luke 4:29	And rose up, and thrust him out of the city, and led him unto the brow of the hill whereon their city was built, that they might cast him down headlong.
Luke 4:39	And he stood over her, and rebuked the fever; and it left her: and immediately she arose and ministered unto them.
Luke 5:5	And Simon answering said unto him, Master, we have toiled all the night, and have taken nothing: nevertheless at thy word I will let down the net.
Luke 5:15	But so much the more went there a fame abroad of him: and great multitudes came together to hear, and to be healed by him of their infirmities.
Luke 5:25	And immediately he rose up before them, and took up that whereon he lay, and departed to his own house, glorifying God.
Luke 5:35	But the days will come, when the bridegroom shall be taken away from them, and then shall they fast in those days.
Luke 6:6	And it came to pass also on another sabbath, that he entered into the synagogue and taught: and there was a man whose right hand was withered.
Luke 6:16	And Judas the brother of James, and Judas Iscariot, which also was the traitor.
Luke 6:26	Woe unto you, when all men shall speak well of you! for so did their fathers to the false prophets.
Luke 6:36	Be ye therefore merciful, as your Father also is merciful.
Luke 6:46	And why call ye me, Lord, Lord, and do not the things which I say?
Luke 7:7	Wherefore neither thought I myself worthy to come unto thee: but say in a word, and my servant shall be healed.
Luke 7:17	And this rumour of him went forth throughout all Judaea, and throughout all the region round about.
Luke 7:27	This is he, of whom it is written, Behold, I send my messenger before thy face, which shall prepare thy way before thee.
Luke 7:37	And, behold, a woman in the city, which was a sinner, when she knew that Jesus sat at meat in the Pharisee's house, brought an alabaster box of ointment,
Luke 7:47	Wherefore I say unto thee, Her sins, which are many, are forgiven; for she loved much: but to whom little is forgiven, the same loveth little.
Luke 8:7	And some fell among thorns; and the thorns sprang up with it, and choked it.
Luke 8:17	For nothing is secret, that shall not be made manifest; neither any thing hid, that shall not be known and come abroad.
Luke 8:27	And when he went forth to land, there met him out of the city a certain man, which had devils long time, and ware no clothes, neither abode in any house, but in the tombs.
Luke 8:37	Then the whole multitude of the country of the Gadarenes round about besought him to depart from them; for they were taken with great fear: and he went up into the ship, and returned back again.
Luke 8:47	And when the woman saw that she was not hid, she came trembling, and falling down before him, she declared unto him before all the people for what cause she had touched him, and how she was healed immediately.
Luke 9:1	Then he called his twelve disciples together, and gave them power and authority over all devils, and to cure diseases.
Luke 9:11	And the people, when they knew it, followed him: and he received them, and spake unto them of the kingdom of God, and healed them that had need of healing.
Luke 9:21	And he straitly charged them, and commanded them to tell no man that thing;
Luke 9:31	Who appeared in glory, and spake of his decease which he should accomplish at Jerusalem.
Luke 9:41	And Jesus answering said, O faithless and perverse generation, how long shall I be with you, and suffer you? Bring thy son hither.
Luke 9:51	And it came to pass, when the time was come that he should be received up, he stedfastly set his face to go to Jerusalem,
Luke 9:61	And another also said, Lord, I will follow thee; but let me first go bid them farewell, which are at home at my house.
